,,,,,,
Talk Table,,,,,,
대화 ID,대사 순서,대사 식별,표시할 이름,왼쪽 캐릭터의 이미지 ID,오른쪽 캐릭터 이미지 ID,"대사
(줄넘김 사용)"
,,,카우딘 ,,,안녕하세요. 제가 주인공인지는 모르겠지만 오늘 실험하는건 맞아요.
,,,클레디,,,"저는 오늘 중요한 실험이 있다고 해서 구경온 기자, 클레디입니다."
,,,클레디,,,잘 부탁드려요.
,,,카우딘,,,카우딘라고 합니다. 잘 부탁드려요.
,,,,,,찰칵
,,,카우딘,,,..?
,,,클레디,,,주인공에겐 걸맞는 사진이 필요하지요.
,,,클레디,,,마치 파리에 에펠탑같은거죠.
,,,,,,그런 의미에서 사진을 기사낼때 써도 될까요?
,,,카우딘,,,아 네.. 그럼요
,,,클레디,,,오늘은 어떤실험을 할 지 너무 궁금해요! 아는거 없으세요?
,,,카우딘,,,"아뇨, 저도 연구소에 오면 알려주겠다고 해서 잘은 모르겠어요."
,,,클레디,,,그렇구나. 그럼 카우딘님은 직업이 뭔가요?
,,,카우딘,,,아직 직업은 없지만 탐정이 되고싶어요.
,,,클레디,,,오 셜록 홈즈같은건가요.
,,,클레디,,,어쩌다가 그런 생각을 가지게 되셨나요?
,,,카우딘,,,"어릴 때, 친구가 제 눈 앞에서 납치 당했었는데 그 친구를 찾고싶어요"
,,,클레디,,,헉! 그런 일이 있었군요.
,,,클레디,,,유감이에요. 그럴 의도는 아니였어요
,,,카우딘,,,엄청 오래전에 일어난 일이라 괜찮아요.
,,,,,,
,,,헬리오,,,카우딘인가? 클레디도 왔네.
,,,카우딘,,,안녕하세요. 카우딘입니다.
,,,헬리오,,,"맞아, 내가 휴먼 아키텍처의 연구소장 헬리오다."
,,,헬리오,,,그냥 헬리오 소장님이라고 부르도록.
,,,클레디,,,안녕하세요. 헬리오 소장님
,,,헬리오,,,그래. 그럼 본론으로 들어가서 오늘 할 실험에 대해 간단히 설명하도록 할까
,,,헬리오,,,카우딘가 말하길 사람들에게서 불규칙적으로 기억나비가 나와서 그 사람의 기억이 보인다고 했지
,,,헬리오,,,그 나비가 보이는 능력을 자유자재로 다룰 수 있게 만드는 도구를 테스트 해보는게 오늘의 실험이야.
,,,헬리오,,,카우딘으로 하는 생체실험이라고도 할 수 있지.
,,,카우딘,,,그 실험 괜찮은거 맞나요?
,,,헬리오,,,조용 
,,,헬리오,,,내가 말하고 있잖아!
,,,헬리오,,,"밀비우스, 어제 말한거 실제로 테스트 해봤겠지?"
,,,밀비우스,,,그건 더미로 테스트 해봤습니다.
,,,헬리오,,,내가 직접 착용해서 해보라고 했잖아
,,,헬리오,,,도대체 왜 내 말을 안듣는거야?
,,,헬리오,,,아 맞다. 레시아 어제 실험실 정리 안하고 갔더라
,,,레시아,,,죄송합니다..
,,,헬리오,,,죄송하면 한 번에 잘 좀 해!
,,,레시아,,,흑흑… 아빠 보고싶어..
,,,헬리오,,,그 놈의 아빠는 그만 찾지 그래?
,,,헬리오,,,더 이상 안통하는 것도 레시아 네가 잘 알텐데
,,,헬리오,,,흠흠
,,,헬리오,,,계속해서 말하자면 밀비우스가 실험해본 결과로는 별 문제 없을거같네
,,,헬리오,,,카우딘은 연구소 좀 구경하다가 실험하고 싶은 때 실험실로 오면 돼
,,,헬리오,,,너무 늦게오진 말고
,,,카우딘,,,넵 알겠습니다.
,,,카우딘 독백,,,되게 신경질적인 사람이네.. 조심해야겠다.
,,,,,,헬리오 퇴장
,,,,,,
,,,헬리오,,,테스트 준비가 됐나?
,,,헬리오,,,다른 볼일이 있나보네. 준비되면 다시 말해.
,,,카우딘,,,네. 테스트는 어떻게 하나요?
,,,헬리오,,,우선 그 전에 밀비우스 실험에 변수가 생기지 않게 연구소 출입을 통제해.
,,,밀비우스,,,네.
,,,헬리오,,,"우선 네 능력에 대해 정리해볼텐데, 맞는지 확인해볼게"
,,,헬리오,,,"사람들을 볼 때, 종종 나비가 보인다고 했지"
,,,헬리오,,,그 나비를 집는순간 시간이 멈추고 그 사람의 기억 일부가 보인다고 했어
,,,헬리오,,,맞나?
,,,카우딘,,,맞아요.
,,,헬리오,,,이 장비는 기억나비가 나오는 대상과 함께 가상세계로 가는 장비야
,,,헬리오,,,프로토타입은 너가 잡고 나는 데이터를 위해 여기 탑승해 있을게
,,,,,,
,,,헬리오,,,이 세계는 프로토타입 장비에 입력되어 있는 가상 세계야. 그 공간안에 너와 나의 인격이 들어온거지
,,,헬리오,,,"세계 구조, 연결 이상은 없고, 내 의식에도 문제는 없는거같네."
,,,헬리오,,,이 나비들이 너가 말한 기억나비인거같네.
,,,카우딘,,,맞아요. 그런 제 눈에만 보이는 나비들이 현실에서 날아다녀요.
,,,헬리오,,,여기서 너가 이 나비 하나만 건드려볼래?
,,,카우딘,,,그럴게요.
,,,,,,
,,,헬리오 과거,,,기억 제거 실험 3단계 실험체는 방금 본 사람을 잊고 처음 본 사람처럼 반응한다.
,,,카우딘 친구(검은 실루엣),,,아저씨는 누구세요?
,,,카우딘 독백,,,저 아이는 내 친구잖아!!
,,,납치범,,,"안녕 꼬마, 내가 누군지 알겠니?"
,,,카우딘 독백,,,납치범이잖아. 헬리오의 과거같은데 이 시점에서는 얼굴이 안보여!
,,,헬리오 과거,,,3단계는 성공했으니 다음 단계를 진행한다.
,,,카우딘 독백,,,헬리오 소장님의 과거 같은데 왜 납치범이 같이 있는거지?
,,,,,,
,,,헬리오(전투),,,네 놈의 얼굴을 보니 내 과거를 같이 공유해서 본거같은데.. 감희 내 과거를 훔쳐봐?
,,,헬리오(전투),,,짜증이 치밀어서 참을 수 없네 실험에 일부라 생각하고 죽어버려!
,,,,,,
,,,,,,
,,,,,,
,,,카우딘 독백,,,갑자기 이성을 잃고 헬리오 소장님과 싸움을 벌이다니 말도 안돼!
,,,헬리오,,,...으
,,,헬리오,,,네 놈의 기억나비는 진짜 신비한 능력을 가지고있네.
,,,헬리오,,,내 기억이 보여주기 싫다는 감정이 가상 세계에서 실체화되어 너를 몰아붙인거같네.
,,,카우딘,,,맞다. 그 기억 헬리오 소장님 왜 제 친구가 소장님 기억에서 나온거죠?
,,,헬리오,,,그건..
,,,,,,
,,,카우딘,,,..?
,,,카우딘,,,소장님?
,,,카우딘 독백,,,헬리오 소장님이 어디가버린거지..
,,,카우딘 독백,,,먼저 가상 세계에서 나간거같으니 나도 나가볼까
,,,,,,
,,,,,,
,,,카우딘,,,으아아아악!
,,,카우딘,,,헬리오 소장님!!!
,,,카우딘 독백,,,설마 죽은거야?
,,,카우딘,,,소장님!!!
,,,밀비우스,,,아..뭔 소란이야?
,,,카우딘,,,헬리오 소장님이 죽은거같아요!
,,,밀비우스,,,설마 그럴리가
,,,밀비우스,,,헉.. 소장님!
,,,밀비우스,,,비켜봐 내가 확인해볼게
,,,밀비우스,,,죽었어..
,,,밀비우스,,,어이.. 소장님이랑 대체 무슨일이 있었던거지?
,,,카우딘,,,저는.. 그저..
,,,레시아,,,카우딘씨! 밀비우스님! 비명이 들려서 왔는데요
,,,레시아,,,꺄아아아아아!
,,,클레디,,,레아! 무슨 일인가요?
,,,클레디,,,아.. 설마
,,,클레디,,,소장님..?
,,,밀비우스,,,내가 루이스를 불러올테니 다들 움직이지 말고 기다리고 있어
,,,,,,
,,,루이스,,,이건 헬리오님이 살해당한거로 보면 되겠죠.
,,,루이스,,,거기 이방인
,,,카우딘,,,저요?
,,,루이스,,,"그래 너, 너가 헬리오님을 죽였지"
,,,카우딘,,,제가 그럴리가요!
,,,루이스,,,"밀비우스가 말하던데 너랑 헬리오님이 실험하러 들어갔고, 그 다음 헬리오님이 시체로 발견됐다고 말이야."
,,,카우딘,,,그.. 그건!
,,,루이스,,,조용히 잡히도록.
,,,카우딘 독백,,,내가 가상세계 전투에서 헬리오 소장님을 제압해서 그런건가?
,,,카우딘 독백,,,일단 현실에서 내가 헬리오 소장님을 건드린적은 없어. 그리고 여기있는 장비들에 대해서도 아는게 없어.
,,,카우딘 독백,,,아무것도 모르는 상태에서 붙잡히는건 말도 안돼. 내 잘못인지 아닌지 정도는 알고싶어.
,,,카우딘,,,잠시만! 나는 소장님의 부탁으로 가상 세계에 들어가는 실험을 했어. 그 동안 여기서 무슨일이 일어났는지 몰라
,,,카우딘,,,내가 제일 의심스러운건 이해하지만 해명할 기회를 위해 여기를 조사할 시간을 줘!
,,,루이스,,,그걸 나보고 믿으라는건가?
,,,루이스,,,범인에게 시간을 달라는 부탁은 처음듣는군.
,,,루이스,,,순순히 붙잡히고 무의미한 발악은 그만둬라.
,,,카우딘 독백,,,이 사람이라면 가상 세계에 대해 알고 있어. 도와줄만한 사람을 고르자
,,,,,,
,,,클레디 선택 시,,,
,,,클레디,,,설마 카우딘님이 헬리오 소장님을 죽이다니..
,,,카우딘 독백,,,이런. 
,,,카우딘 독백,,,이 사람은 그냥 기자야. 가상 세계에 대해 알리가 없어
,,,,,,
,,,레시아 선택 시,,,
,,,레시아,,,헬리오님... 아... 
,,,카우딘 독백,,,틀렸어.
,,,카우딘 독백,,,나를 도와줄 상태가 아니야.
,,,,,,
,,,밀비우스 선택 시,,,
,,,카우딘,,,밀비우스! 당신이라면 가상 세계에 대해 알고있어요. 
,,,카우딘,,,제가 가상 세계있는동안 헬리오 소장님이 죽은거라면 밀비우스씨가 확인할 수 있겠죠.
,,,밀비우스,,,귀찮지만 일리가 있는 말이네. 확실히 위화감이 들어.
,,,밀비우스,,,"입구 지키는 친구, 나도 궁금한게 생겼는데 조금만 시간을 줘"
,,,,,,
,,,루이스,,,...
,,,루이스,,,밀비우스의 부탁이니 들어주지만
,,,루이스,,,거기 너 운좋은 줄 알아
,,,카우딘,,,휴..
,,,루이스,,,대신 실험실은 나갈 수 없다.
,,,루이스,,,밀비우스랑 네놈은 현장은 건들지않고 조사하도록 해라.
,,,루이스,,,살인현장이니 건드는 사람은 범인으로 간주하겠어. 
,,,루이스,,,서로 붙어서 감시하도록 해
,,,카우딘 독백,,,진짜 너무하네
,,,카우딘 독백,,,그래도 조사할 기회가 생겼으니 이 기회를 최대한 살려보자.
,,,,,,
,,,프로토타입 장비를 사용,,,
,,,카우딘 독백,,,아까 헬리오 소장님과의 가상 세계에서 싸운거처럼 루이스씨와 가상 세계에서 문제를 처리 할 수 있을지도 몰라
,,,카우딘 독백,,,이판사판이니 그냥 프로토타입 장비를 써보자
,,,,,,
,,,루이스(전투),,,순순히 내 말을 따라 잡히면 좋았을텐데..
,,,루이스(전투),,,존나 귀찮게 구네!
,,,,,,
,,,루이스,,,...
,,,루이스,,,거기 귀찮은 놈.
,,,루이스,,,약간의 시간을 주겠다. 밀비우스랑 동행하도록
,,,카우딘,,,알겠어요.
,,,카우딘 독백,,,시간을 벌었다!
,,,,,,
,,,밀비우스는 무엇을 하고 있었나?,,,
,,,카우딘,,,밀비우스씨는 제가 실험하는 동안 무엇을 하고 계셨나요?
,,,밀비우스,,,소장님의 부탁으로 입구에 있던 루이스한테 갔다.
,,,밀비우스,,,루이스한테 중요한 실험중이니 연구소에 출입하는 인원을 통제해달라고 했지.
,,,카우딘,,,그렇군요.
,,,,,,
,,,장비에 대하여,,,
,,,카우딘,,,이번 실험에 제가 쓴 실험 장비에 대해 알려주세요.
,,,밀비우스,,,너가 들었던 지팡이는 프로토타입이긴 하지만 엄청난 기능이 담긴 장비야.
,,,밀비우스,,,기억을 주관하는 뇌파를 시각화하여 장비를 들고 있는 사람과 지팡이로 상호작용하는 대상은 가상세계로 들어가게 돼.
,,,밀비우스,,,가상세계에 들어간 뒤는 실험을 직접안해봐서 모르겠지만 서로 기억에 대해 관여할 수 있다.
,,,밀비우스,,,이정도까지 알고 있다.
,,,카우딘,,,그럼 헬리오 소장님이 착용한 장비는요?
,,,밀비우스,,,그건 데이터 수집을 위한 장비야.
,,,밀비우스,,,착용자가 어떻게 움직이는지 기록이 다 남게 돼.
,,,밀비우스,,,원래라면 관절을 꺾을 수 없게 안전장치가 걸려있어야 하는데
,,,밀비우스,,,왜 이렇게 됐는지 나도 모르겠네.
,,,카우딘,,,그렇군요.
,,,카우딘 독백,,,안전장치라.. 조사 해봐야겠네.
,,,,,,
,,,헬리오와의 관계,,,
,,,카우딘,,,연구소장님과의 관계는 어떻게 되시나요?
,,,밀비우스,,,그냥 평범한 직장에서의 상관이였어.
,,,카우딘,,,그게 다 인가요?
,,,밀비우스,,,그럼 뭐가 더 필요한가?
,,,카우딘,,,아뇨 그건 아닌데..
,,,카우딘 독백,,,동기같은게 있나 궁금한거죠.
,,,밀비우스,,,그런건 없어.
,,,밀비우스,,,있어도 말할리도 없고.
,,,카우딘,,,그렇긴 하죠..
,,,밀비우스,,,...
,,,,,,
,,,더 물어볼건 없다.,,,
,,,카우딘,,,더 물어본건 없네요.
,,,밀비우스,,,알겠어...
,,,,,,
,,,레시아는 무엇을 하고 있었나?,,,
,,,카우딘,,,레시아씨는 제가 실험하는동안 무엇을 하고 계셨나요?
,,,레시아,,,혹시 저가 뭐를 잘못해서 의심받는건가요?
,,,카우딘,,,의심을 거두기 위한 조사라고 해둘게요.
,,,레시아,,,흑흑
,,,레시아,,,그러면 어쩔 수 없네요.
,,,레시아,,,저는 밀비우스님의 지시로 틀린 실험 결과 데이터 값을 수정하고 있었어요.
,,,카우딘,,,그렇다면 연구실에 있었다는 이야기네요?
,,,레시아,,,맞아요.
,,,카우딘,,,일단 알겠습니다.
,,,,,,
,,,장비에 대하여,,,
,,,카우딘,,,레시아씨는 장비에 대해 어떤걸 알고 계시나요?
,,,레시아,,,저는 그 장비에 대해 자세히는 몰라요.
,,,레시아,,,저는 연구소에서 주로 실험 데이터 정리나 잡일을 맡고 있어요.
,,,카우딘,,,그렇군요.
,,,카우딘 독백,,,연구소 안에서 취급이 안좋네..
,,,카우딘 독백,,,일단 말하는거만 들어보면 장비에 대해 모르는거같지만 의심을 거두진 말자.
,,,,,,
,,,헬리오와의 관계,,,
,,,카우딘,,,연구소장님과의 평소 관계는 어떻게 되시나요?
,,,레시아,,,헬리오님은 대단하지만 무서운 사람이에요. 
,,,레시아,,,그리고...
,,,카우딘,,,그리고?
,,,레시아,,,이제와서 말할 수 있는거지만 저한테 진짜 못되게 굴었어요.
,,,레시아,,,"툭하면 혼내고 맨날 잡일 시키고, 너무 힘들었어요."
,,,카우딘,,,힘들었겠네요.
,,,레시아,,,진짜로 너무 힘들었어요. 그래서 맨날 아빠한테도 말하고 그랬는데 아빠는 처음에 저를 달래주다가
,,,레시아,,,나중에는 헬리오님 편을 들어주더라고요. 다들 진짜 너무해요.
,,,카우딘,,,아하하... 그렇군요
,,,카우딘 독백,,,헬리오가 레시아를 많이 못살게 굴었구나. 만약 그녀가 범인이라면 이게 동기가 될 수도 있겠어.
,,,,,,
,,,더 물어볼건 없다.,,,
,,,카우딘,,,더 물어볼건 없네요.
,,,레시아,,,네 그래요.
,,,,,,
,,,클레디는 무엇을 하고 있었나?,,,
,,,카우딘,,,클레디씨는 제가 실험하는동안 무엇을 하고 계셨나요?
,,,클레디,,,으음 저는 실험실을 들어가보고 싶었지만 남자 연구원이 가로막아서 못들어갔어요.
,,,클레디,,,오늘은 실험 못보는줄 알고 연구소를 나가려고 했는데 입구에 루이스씨가 지금은 못나간다고 하더라고요.
,,,클레디,,,그래서 그냥 휴게실에서 쉬고 있었어요.
,,,카우딘,,,그렇군요.
,,,,,,
,,,장비에 대하여,,,
,,,카우딘,,,클레디씨는 장비에 대해 어떤걸 알고 계시나요?
,,,클레디,,,여기 연구소에 여러번 와서 본적은 있어요. 하지만 써본적은 없습니다.
,,,클레디,,,전에 물어본적은 있는데 실험 데이터 측정용 장비라고 말하더라고요.
,,,카우딘,,,약간은 알고 계시네요?
,,,클레디,,,"기자니까, 궁금한건 뭐든 물어봐야죠!"
,,,,,,
,,,헬리오와의 관계,,,
,,,카우딘,,,연구소장님과의 평소 관계는 어떻게 되시나요?
,,,클레디,,,글세요.. 헬리오 소장님은 워낙 사람이 안좋아서요.
,,,클레디,,,자기보다 낮은 위치의 사람이라고 생각하면 엄청 깔봐요. 저도 마찬가지였어요.
,,,클레디,,,그래도 저는 일을 해야되기 때문에 최대한 헬리오 소장님과 최대한 잘 지냈답니다.
,,,카우딘,,,알겠습니다.
,,,카우딘 독백,,,당연한 말을 하면서 지나치려하는데
,,,카우딘 독백,,,둘은 사이 무슨일이 있었던거같네.
,,,,,,
,,,더 물어볼건 없다.,,,
,,,클레디,,,뭔가 물어보는게 탐정같네요!
,,,카우딘,,,어릴때부터 탐정이 되고 싶어서 관련 공부를 좀 해봤어요.
,,,클레디,,,오~ 신기하네요.
,,,,,,
,,,로봇팔 상호작용,,,
,,,카우딘 독백,,,신기하게 생긴 로봇팔이다.
,,,카우딘,,,이 로봇팔은 어디에 쓰나요?
,,,밀비우스,,,무거운 물건을 계속 들고있거나 세밀한 조정을 하는데 사용돼.
,,,밀비우스,,,이번 사건과는 연관이 없어보이는데
,,,카우딘 독백,,,내가 봐도 그렇긴 해..
,,,,,,
,,,헬리오 시신,,,
,,,카우딘 독백,,,팔과 목이 뒤틀려있다. 입에는 피가 흐르고 있다.
,,,카우딘 독백,,,그 밖에 외상은 안보인다.
,,,밀비우스,,,이상하네.
,,,카우딘,,,뭐가 이상하죠?
,,,밀비우스,,,이 장비는 안전장치때문에 관절을 이렇게 꺾을 수 없어.
,,,카우딘,,,그거 참 이상하네요.
,,,,,,
,,,헬리오가 장착한 장비,,,
,,,밀비우스,,,역시 안전장치가 풀려있어.
,,,카우딘,,,그러면 어떻게 되나요?
,,,밀비우스,,,안전장치가 없으면 인간이 견딜 수 있는 한계 이상으로 장치가 움직일 수 있어.
,,,밀비우스,,,정신이 온전하면 그때 장비에서 빠져나오면 되지만..
,,,밀비우스,,,실험 중이였으니 못빠져 나온거같아
,,,카우딘 독백,,,그 때 가상 세계에서 전투 중이였으니 그럴 수도 있겠다.
,,,,,,
,,,프로토타입 장비,,,
,,,카우딘 독백,,,첨단 장비가 잔뜩 들어간 지팡이다..
,,,카우딘,,,이 프로토타입에 대해 설명해줄 수 있나요?
,,,밀비우스,,,뇌파를 이미지와 시키는 최첨단 도구지.
,,,밀비우스,,,"이미지를 바탕으로 가상 세계를 만든 뒤, 그 세계에서 기억과 상호작용을 하는걸로 알고있어."
,,,밀비우스,,,그 뒤는 내가 실험해본적이 없어서 자세히는 모르겠다.
,,,카우딘,,,이 지팡이의 사용법은 있나요?
,,,밀비우스,,,지팡이라니 모욕적이군. 
,,,밀비우스,,,프로토타입에 대한 정보는 넘겨둘테니 나중에 확인해봐라
,,,,,,
,,,모니터들,,,
,,,카우딘,,,여기 나오는 모니터들은 뭔가요?
,,,밀비우스,,,실험에서 나오는 데이터들을 보여주는거다.
,,,밀비우스,,,이번 사건이랑 관련없을거다.
,,,,,,
,,,연구소장의 방,,,
,,,카우딘 독백,,,문이 잠겨있다.
,,,카우딘,,,이 방 넘어에는 뭐가 있나요?
,,,밀비우스,,,이 방은 소장님의 방이야
,,,밀비우스,,,소장님이 없는 지금 바로 열기는 힘들거같네.
,,,카우딘,,,그렇군요.
,,,,,,
,,,서버실,,,
,,,카우딘 독백,,,문이 잠겨있다.
,,,카우딘,,,이 방 넘어에는 뭐가 있나요?
,,,밀비우스,,,그냥 서버실.
,,,밀비우스,,,지금 실험은 테이블 위에 노트북으로도 볼 수 있으니 신경쓸거 없다.
,,,카우딘,,,그렇군요.
,,,,,,
,,,실험장비실,,,
,,,카우딘 독백,,,문이 잠겨있다.
,,,카우딘,,,이 방 넘어에는 뭐가 있나요?
,,,밀비우스,,,실험에 대한 각종 자제가 모여있어.
,,,카우딘,,,들어가 볼 수 있을까요?
,,,밀비우스,,,너에 대한 혐의랑은 관련없어보이는데?
,,,카우딘,,,알겠습니다..
,,,,,,
,,,실험실 책상 or 노트북,,,
,,,밀비우스,,,이 노트북에 너랑 소장님의 실험 기록이 남아있다.
,,,카우딘,,,이걸 확인하면 저랑 소장님이 어떻게 됐는지 다 알 수 있나요?
,,,밀비우스,,,그건 아니야.
,,,밀비우스,,,"여기서 알 수 있는건 너랑 소장님이 가상 세계에 진입한 시간과 나온 시간을 알 수있고,"
,,,밀비우스,,,소장님의 신체 데이터 기록도 확인할 수 있어.
,,,카우딘,,,그래도 그 정도면 큰 도움이 되겠어요.
,,,카우딘,,,루이스씨 듣고있나요?
,,,루이스,,,...
,,,카우딘,,,이 노트북에서는 중요한 단서가 있는데 확인해봐도 될까요?
,,,루이스,,,...
,,,밀비우스,,,이건 확인해봐야 돼. 루이스
,,,루이스,,,그 노트북만이다.
,,,카우딘 독백,,,다행이다. 
,,,,,,
,,,밀비우스,,,여길 보면 너랑 소장님이 가상 세계로 진입한 시간을 확인할 수 있어.
,,,밀비우스,,,"소장님이랑 너는 15:30분에 가상 세계에 진입했고, "
,,,밀비우스,,,"소장님은 16:01분부터 연결상태 오류라고 나오고,"
,,,밀비우스,,,너는 16:03분에 연결상태 해제를 했다고 나오네.
,,,카우딘,,,헬리오 소장님의 신체 기록은 어떤가요?
,,,밀비우스,,,15시 45분까지는 큰 변화는 없는데
,,,밀비우스,,,46분부터 연결상태 오류가 뜰때까지 신체에 부담을 줄만큼 흥분된 상태가 된거같아.
,,,밀비우스,,,계속해서 맥박수랑 호로몬 분비가 증가하다가 연결 상태 오류가 된 시점에 뚝 끊겼네.
